,sentence,label
456,Clydesdale Bank hit with record PPI fine for 'unacceptable' staff lies,0
457,UK's FTSE climbs to record closing high as Standard Chartered surges,2
458,US judge rules that BP spill smaller than feared,2
459,Royal Mail Revenue Flat As Letters Weakness Offsets Parcels Strength,1
460,"AB InBev launches SAB bid, to sell MillerCoors stake",2
461,ARM Royalties Accelerate as Smartphone Market Regains Strength,2
462,Shell fined by Scottish court for 2011 North Sea oil spill,0
463,Glencore chief blames rivals' overproduction for share price fall,0
464,"Ackman, in email, says supports Valeant CEO Pearson",2
465,GlaxoSmithKline's CEO Witty to bow out in March 2017,0
466,Standard Life shuts Â£2.9bn property fund after investors rush to withdraw money post-Brexit,0
467,Shire CEO steps up drive to get Baxalta board talking,2
468,FTSE slide halted by BP's Â£12bn US settlement - London Report,0
469,Sainsbury's pressed to raise bid for Home Retail Group,0
470,"FDA approves NPS drug, in move validating Shire takeover deal",2
471,Sanofi poaches AstraZeneca scientist as new research head,2
472,CompaniesSanofi poaches immunology expert from AstraZeneca,2
473,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,2
474,"Broker tips: RBS, Croda, Sage",2
475,"Royal Mail, Johnson Matthey lead FTSE lower",0
476,Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown,0
477,Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,0
478,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,0
479,Report: Financial Times up for sale,0
480,Glencore raises $2.5bn through share placing to help cut debt load,2
481,BP joins forces with Det Norske in Norway,2
482,No pay hikes this year at Rio Tinto as mining slump bites,0
483,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",0
484,Warren Buffett's Berkshire Hathaway buys stake in Apple,2
485,"Broker tips: RBS, Croda, Sage",2
486,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,2
487,FTSE steadies around 2-month low Diageo shares surge,2
488,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",0
489,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,2
490,"We'd support HSBC leaving London, says Standard Life",2
491,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,2
492,CompaniesTesco bumps up pay for store staff,2
493,BP pay boss feels the heat from revolt over Dudley's Â£14 million,0
494,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
495,Shell Plans to Shed 2800 Jobs After Buying BG Group,0
496,"Old Mutual to split up, may list some businesses",2
497,"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",0
498,CompaniesKingfisher bid for Mr Bricolage runs into trouble,0
499,EasyJet to pass on lower fuel prices to customers,2
500,Tesco loses two more directors as Garfield and Tammenoms step down,0
501,The UK Government's Call To Sell Shares In Royal Bank Of Scotland Group plc ...,0
502,Credit Suisse poaches Prudential's Thiam for Asian push,0
503,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
504,Britain's FTSE eyes 7th straight daily rise; Wolseley lags,0
505,EU regulator backs approval for GSK injectable asthma drug,2
506,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,0
507,LSE gets Hong Kong regulatory nod to HK firms to become LSE members,2
508,"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",2
509,Canadian Pension fund Borealis renews pursuit of Severn Trent : report,2
510,ITV merger reports boost Footsie stocks,2
511,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",0
512,Wolseley helps lift FTSE from losses,2
513,Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
514,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",0
515,CommentOpening Quote: pay day moans; profits slump for Lloyds; Mars mission,0
516,AstraZeneca sells Caprelsa rights to Sanofi unit,2
517,Industry NewsWood Group wins multi-million dollar contract with BP,2
518,Royal Mail and workers' union agree pay deal,2
519,Lloyds wins right to buy bonds back early to save 1 billion pounds,2
520,"Britain's FTSE buoyed by Admiral, building sector gains",2
521,Tesco share price: Brand Guarantee comes under fire,0
522,"FTSE led lower by M&S, GlaxoSmithKline",0
523,FTSE edges up as investors cheer Kingfisher results,2
524,HSBC chief hit with tax-avoidance scandal,0
525,British government stake in Lloyds Banking Group fa,0
526,AstraZeneca's $727 million play to do away with chemotherapy,2
527,HSBC appoints business leaders to board,2
528,Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,0
529,"Buffett's Berkshire builds Deere stake, dumps Exxon",2
530,BUZZ-BG Group: outperforms sector after record output,2
531,Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,2
532,"After Barclays and Bank of America, Citigroup has blockchain in sight",2
533,"Industry NewsG4S makes 'positive' start to year, no new impairments",2
534,Morrisons helps FTSE edge higher energy shares slip,2
535,Old Mutual share price: Wealth unit seen as blue-chip company,2
536,CompaniesUnilever sales lifted by ice cream in soft economy,2
537,InterContinental Hotels first-quarter global room revenue lags estimates,0
538,"Bunzl backs 2015 view, buys more businesses",2
539,Bidders Abandon Auction Of Tesco Data Unit,0
540,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",2
541,Euro zone QE helps Standard Life first-quarter funds boost,2
542,Smith & Nephew 2015 trading profit beats expectations,2
543,Closely watched AstraZeneca cancer drug fails in mesothelioma,0
544,Glencore slumps 25 pct as debt fears grow,0
545,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,0
546,AB InBev offers SABMiller $3 billion breakup fee,2
547,Barclays Executive Harrison Denies Knowledge of Libor Fixing,0
548,Standard Life hit by 'unprecedented' number of calls on pension freedoms,0
549,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,2
550,CompaniesAB InBev signals it won't go hostile for SABMiller,2
551,Meggitt Acquires Cobham Advanced Composites Unit For USD200 Million,2
552,LSE Group names former SEC head Schapiro non-executive director,2
553,IAG closes in on Aer Lingus with increased offer,2
554,US sanctions put Gazprom-Shell alliance plans in jeopardy,0
555,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2
556,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,0
557,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",2
558,BP agrees to $18.7B penalty for oil spill; the tricky science behind ...,0
559,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,2
560,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0
561,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",2
562,Compass Group says positive for year ahead,2
563,Pearson expects to return to growth this year,2
564,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,2
565,Unilever head's resignation sparks spinoff talk,2
566,AstraZeneca wins US approval for longer use of blood thinner,2
567,BAE Systems cuts earnings target for 2015 and 370 jobs,0
568,Morrisons and Debenhams surprise City with Christmas bounce back,2
569,Whitbread to hike prices to offset 'substantial' national living wage bill,0
570,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",2
571,CompaniesCar insurer Hastings Group driving Â£180m IPO,2
572,GlaxoSmithKline starts hunt for successor to CEO Witty,1
573,National Grid's pretax profit rises 15 percent,2
574,"Britain's FTSE steadies, supported by Dixons Carphone",2
575,CRH's concrete bid for Holcim Lafarge assets,2
576,UK's Morrisons in talks to sell convenience stores - source,0
577,"HSBC keeps headquarters in London, rejects move to Hong Kong",2
578,Shell share price: Standard Life announce position against BG acquisition,0
579,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",2
580,Secretive Barclays deal involved Qatari clients,0
581,British American Tobacco first-half sales hurt by currency moves,0
582,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",0
583,Tullow Oil eyes lower earnings as output falls,0
584,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",0
585,BG Group ships first LNG From Queensland Curtis,2
586,Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value,0
587,"MarketsUBS, Goldman Sachs cut metals forecasts",0
588,CompaniesKingfisher bid for Mr Bricolage runs into trouble,0
589,CompaniesUK government lines up Â£2bn Lloyds retail share sale,0
590,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",2
591,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,2
592,Standard Chartered Will Close Equity Sales and Research Business,0
593,CompaniesNational Grid lines up sale of gas business,2
594,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,2
595,Prudential knocked after investors withdraw Â£3.9bn from M&G,0
596,US walrus protections hit Shell's Arctic drilling plan,0
597,Severn Trent Profit Offsets Interest Rate Swap Losses,2
598,CompaniesTullow says gas exports at key field disrupted,0
599,"AstraZeneca bags another cancer drug deal, this time with Inovio",2
600,"Tesco, Asda sales fall as march of the discounters continues-Kantar",0
601,"We'd support HSBC leaving London, says Standard Life",2
602,Severn Trent profit up as customer complaints fall,2
603,US dollar wipes out sales gains for SABMiller,0
604,"AstraZeneca digs into precision medicine with lung, heart deals",2
605,Lloyds Banking Group to cut 640 jobs and close 23 branches,2
606,London Stock Exchange Group's quarterly revenue rises 12 percent,2
607,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
608,Dixons Carphone Profit Beats Forecast in First Year Since Merger,2
609,PRESS: HSBC Chairman Hints Bank May Retain UK Domicile - Tel,2
610,"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business",0
611,Former Schroders trader sentenced to 2 years in prison,0
612,GSK and Novartis complete deals to reshape both drugmakers,2
613,Barclays Names Mike Bagguley as Chief Operating Officer of Investment Bank,1
614,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,0
615,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
616,Barclays hit with record fine as six banks settle forex scandal,0
617,UK Serious Fraud Office Seeks Retrial of Two Former Barclays Libor Traders,0
618,Cuadrilla files to delay application to frack in Lancashire,0
619,GlaxoSmithKline hails progress with lung disease treatment,2
620,Morrisons escapes FTSE relegation,2
621,ITV Acquires 'Poldark' Production Company Mammoth Screen,2
622,RPT-UPDATE 2-Former Jefferies trader Litvak's conviction overturned,2
623,Tesco Sales Deteriorate Ahead of Crucial Christmas Period,0
624,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",0
625,Tesco sells Blinkbox and broadband service to TalkTalk,2
626,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",2
627,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,2
628,Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,2
629,GSK reveals strong trial results for shingles drug,2
630,Experian says receives class actions related to T-Mobile breach,0
631,Shell shells out over Nigeria oil spill,0
632,Tesco to pay $12 million to settle US lawsuit,0
633,"FTSE 100 moves lower, but HSBC outperforms",2
634,Meggitt share price tumbles as profit falls in 'challenging year',0
635,BG Group Still Happy With Shell's $70 Billion Offer,2
636,AB InBev attacks SABMiller bid rebuffal,0
637,Aberdeen to raise 100 mln stg to seed new funds,2
638,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,0
639,The Latest: Buffett says cuts will pay off at Kraft Heinz,2
640,Glencore Studies Possible IPO for Agricultural Trading Business,2
641,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",2
642,Gabon Considering Back Tax Penalties Against Royal Dutch Shell,0
643,"Barclays picks ex-JPMorgan exec Staley as new CEO, to start Dec 1",1
644,Insight hires Aviva's David Hillier for multi-asset team,2
645,Struggling Morrisons pays out Â£3m to sacked boss Dalton Philips â€“ with more to ...,0
646,Government to sell off remaining 14% stake in Royal Mail,0
647,United Utilities' full-year underlying operating profit falls 9 percent,0
648,Tesco to close remaining Homeplus stores in UK,0
649,CEO of Berkshire's Gen Re to retire; Jain's role grows,0
650,Morning Agenda: Shire's Deal for NPS,2
651,WPP boosts sales despite cautious clients,2
652,"Britain's FTSE rises, led up by Glencore surge",2
653,Brewer AB InBev seeks $275 bln tie-up with SABMiller,2
654,Tesco shareholders back ITV head for chairman,2
655,Kingfisher takeover of Mr Bricolage could hit a brick wall,0
656,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,2
657,"UPDATE 2-Prudential will see strong first-half earnings, outgoing CEO says",2
658,Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
659,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,2
660,"GlaxoSmithKline heart drug flops in study, shingles vaccine on track",0
661,ICE Said to Start Lining Up Financing for LSE Bidding War,2
662,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",2
663,Lloyds sells Irish loan portfolio for Â£827m,2
664,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,0
665,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,2
666,BHP's iron ore outlook holds little cheer for small miners,0
667,Shire share price under pressure after $32bn Baxalta deal,0
668,PRESS: Pearson Set To Announce Sale Of Financial Times - Reuters,2
669,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,2
670,"Five years after BP oil spill, some Gulf oystermen are losing hope",0
671,Walmart still selling Maryland T-shirts featuring the outline of Massachusetts,2
672,"GlaxoSmithKline beats profit forecasts despite Advair hit, lower margins",2
673,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,2
674,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,2
675,Tesco's Sales Pickup Isn't Enough,0
676,RBS chairman admits surprise at size of regulatory penalties,0
677,Persimmon sells 17% more houses in 2014,2
678,CRH's concrete bid for Holcim Lafarge assets,2
679,ITV strike: Broadcaster's revenue soars but staff walkout for a piece of the action,2
680,McEwan will be nursing RBS through more struggles yet,0
681,Arm profits and sales up as shift away from mobile gains pace,2
682,Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,2
683,Land Securities warns of rent rises,0
684,Glencore shares hit 3-month high after refinancing key credit line,2
685,RBS becomes a shadow of its former self,0
686,Sir Ken Morrison has taken a Â£6m stake in rival Sainsbury's,2
687,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,2
688,UPDATE 1-Pearson expects to grow this year after solid end to 2014,2
689,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,2
690,Market Report: Aviva tops the market as traders approve of its choice of Friends,2
691,Admiral and Schroders lift FTSE with profits surge,2
692,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,2
693,UK's FTSE hits new record highs as CRH climbs,2
694,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,2
695,Shell share price: Standard Life announce position against BG acquisition,0
696,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,2
697,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",2
698,MarketsMoneysupermarket slides 11% on Barclays Brexit warning,0
699,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",2
700,Can Christmas Save Sainsbury's plc And Tesco plc?,0
701,HSBC Says Unit to Book $585 Million Charge on Settlement,0
702,FTSE boosted by Dixons Carphone with Fed in focus,2
703,Standard Life impresses as fee-based products offset annuities slump,2
704,CompaniesHome Retail trims gains but is considered 'in play',2
705,Intertek Group announces strategic update outlining its plan,2
706,Valeant CEO Pledges to Heed Critics After `Painful' Experience,0
707,Industry NewsHammerson joint venture buys Dublin loan portfolio,2
708,AstraZeneca sells Caprelsa rights to Sanofi unit,2
709,Greenpeace Protest of BP Forces British Museum to Close,0
710,"L&G fund arm, Nikko Asset Management sign bond fund distribution deal",2
711,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,2
712,"Insight - Britain's bank tax jump threatens to push HSBC, StanChart to new home",0
713,Royal Mail chairman Donald Brydon set to step down,0
714,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,2
715,Prudential shares halted in Hong Kong pending announcement,0
716,"CompaniesPound to boost ABF for now, but mixed impact ahead",2
717,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",2
718,AstraZeneca chases Acerta to secure next cancer drug winner,2
719,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",2
720,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,2
721,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,2
722,Payout from BP oil spill settlement tops $5 billion,0
723,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,2
724,"Berkshire Bought Apple Stake at $99.49 a Share, Filing Shows",2
725,Sainsbury's and Glencore give FTSE a three-digit lift - London Report,2
726,BHP Billiton drags FTSE lower after slashing dividend,0
727,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,2
728,Unilever returns to Cuba in joint venture with state,2
729,Deals Help Shrink Glencore's Mountain of Debt,2
730,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",2
731,British taxpayers' stake in Lloyds falls below 22 percent,0
732,Fears Primark growth is starting to falter,0
733,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",2
734,Royal Bank of Scotland becomes Facebook customer,2
735,MOVES-Ex-shadow minister McClymont joins Aberdeen Asset Management,2
736,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",2
737,Morrisons and Debenhams surprise City with Christmas bounce back,2
738,"FTSE ends lower on weaker miners, Tesco outperforms",2
739,CompaniesCoutts raids JPMorgan Chase for new CEO,0
740,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,2
741,Tesco share price down as grocer faces SFO investigation outcome,0
742,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",2
743,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",2
744,AstraZeneca share price: Acerta deal pays off with orphan drug status,2
745,Cost savings help Robinsons maker Britvic to first-half profit,2
746,CompaniesTesco sends supermarket shares to top of FTSE,2
747,"Diageo, Heineken Exchange Emerging-Market Brewing Assets",2
748,Protesters gather in Seattle to block access to Shell oil rig,0
749,Passengers rise at EasyJet and Aer Lingus,2
750,Intertek profit up 16.1%; expects to meet forecast,2
751,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",0
752,Tesco's boss knows which side his bread is buttered,2
753,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,0
754,GSK hopes big clinical trial can breath new life into lung drug,2
755,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,1
756,Standard Chartered CEO Peter Sands to Resign After Unrest at Bank,0
757,Industry NewsStrong results at Travis Perkins marred by plumbing impairment,0
758,Mongolia and Rio Tinto agree $5bn Oyu Tolgoi mine expansion,2
759,AstraZeneca to Buy ZS Pharma for $2.7 Billion,2
760,"Aviva plans to up pay-out ratio, says too soon to judge Brexit impact",2
761,Reluctant shareholder George Osborne loses patience with RBS,0
762,Cuadrilla and protesters await Lancashire fracking decision,0
763,Currency causes full-year headaches for SABMiller,0
764,Beach holiday demand helps lift clouds for easyJet,2
765,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,2
766,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0
767,"StanChart announces $5.1 billion capital-raising plan, posts Q3 loss",0
768,BT Group's third quarter revenues rise as restructure unveiled,2
769,SSE share price: Peterhead station to supply voltage support to National Grid,2
770,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,2
771,Berkshire seeks to boost its Wells Fargo stake above 10 percent,2
772,AstraZeneca's patent on asthma drug invalidated by US court,0
773,Lloyds Bank Is Said to Face Potential Fine Over Handling of Insurance Complaints,0
774,Goodwin not to face Scottish prosecution over RBS,2
775,TOP NEWS: Barclays Profit Depressed By Foreign Exchange Provisions,0
776,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,2
777,"Glencore 2014 profit in line, takes $1.1 billion charge on commodity prices",2
778,Morrisons share price: Group trading director departs as management cull ...,0
779,Lloyds returns Â£13bn to UK taxpayer,0
780,Weir leads FTSE lower after oil price profits warning,0
781,Retail focus helps to shield Lloyds from banking chill,2
782,UPDATE 1-RBS raising $3.1 billion through issue of CoCo bonds,2
783,Retailers Kingfisher and Sports Direct rise in Britain's share index,2
784,UPDATE 1-Rio Tinto to sell aluminium assets in $1 bln deal -paper,2
785,EasyJet attracts more passengers in June but still lags Ryanair,2
786,"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...",2
787,Barclays fined for anti-money-laundering failings,0
788,CORRECTED-Shire to buy Dyax for about $5.9 bln,2
789,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",0
790,ITV shares dip after update,0
791,"Centrica extends gas deals with Gazprom, Statoil",2
792,Glencore shares enjoy bounce-back after Hong Kong-led surge,2
793,Ruling sets lower limit on potential fine for BP,0
794,Sports Direct Shares Tumble as Founder Ashley Sells Shares,0
795,Shell challenges Exxon dominance with 47 billion-pound bid for BG,0
796,Diageo receives reports from United Spirits on financial irregularities involving ...,0
797,Credit checker Experian reports fall in full-year profit,0
798,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,2
799,Barclays reports 8% fall in annual profits,0
800,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,2
801,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
802,Chipotle Sales Plunge as Troubled Chain Gets Federal Subpoena,0
803,Shell offers 50 percent premium to buy BG for $70 billion,2
804,Morrisons share price: Founder's son to assist CEO with turnaround,2
805,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,2
806,Sainsbury sells unit to LloydsPharmacy,2
807,Former Barclays traders stand trial in Libor case,0
808,Tesco share price jumps as Q3 sales top estimates,2
809,"South Africa approves SABMiller, Coke bottling deal with conditions",2
810,CompaniesActelion shares hit record on Shire takeover talk,2
811,UPDATE: Aggreko Interim Profit Drops As It Undertakes Restructuring,0
812,"HSBC, Standard Chartered Lead Asia Bank Rout as U.K. Votes 'Out'",0
813,Standard Chartered's Shares Plunge 7% After Fitch Downgrade,0
814,Standard Chartered Misses Estimates in Sands's Last Results,0
815,"HSBC shakes up board with two new business chiefs, three departures",0
816,Britain's FTSE slips from 2016 high as Sky falls,0
817,BHP Billiton to lower copper production costs,2
818,Glencore Sells Shares to Raise $2.5 Billion and Reduce Debt,2
819,CompaniesSmith & Nephew flops 6.8% to foot of FTSE 100,0
820,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",0
821,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,2
822,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,0
823,BP Judge Urged to Impose $11.7 Billion-Plus Spill Fine,0
824,RBI surprises Street; Sensex pares gains after hitting mount 30k,2
825,"Royal Mail needs to deliver on modernisation plans, post haste",0
826,Barclays CEO poaches risk head from JP Morgan,2
827,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
828,Clydesdale Bank H1 profits weighed down by PPI charge,0
829,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,2
830,CompaniesDeutsche taps ex-StanChart executive for audit role,1
831,Cuadrilla chief Francis Egan: Scaremongering fracking opponents make me angry,0
832,Investors Remain Skeptical About Shell-BG Deal,0
833,Amazon to attack UK grocery market with Morrisons deal,2
834,Glencore tells investors it is on track to reduce debt: Barclays,2
835,UPDATE 3-Barclays fined for lax crime checks in 'deal of century',0
836,Prudential hit by withdrawals from M&G investment arm,0
837,Old Mutual faces backlash over Â£9m chief exec payout plan,0
838,Barclays backs new iPhone and Android app that lets users send each other money using a bitcoin network,2
839,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
840,Lloyds to cut 945 jobs as part of three-year restructuring strategy,0
841,CommentOpening Quote: Tesco; Premier Foods jilted; FCA on IPOs,1
842,Investor Woodford calls for outsider to head GlaxoSmithKline,2
843,Randgold Resources third quarter profit slips despite record production,0
844,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
845,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0
846,UPDATE 1-UK to start selling remaining Royal Mail shares,0
847,Companies Thetrainline.com announces arrival of London IPO,2
848,Hargreaves weathers torrid ISA season and Brexit fears,0
849,PRESS: UK Government Would Oppose Any BP Takeover - FT,0
850,"Britain's FTSE gains, Land Securities up after dividend hike",2
851,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,2
852,What It Takes for Royal Dutch Shell to Break Even,1
853,Industry NewsPetrofac secures $250m North Sea contract,2
854,"Lloyds Will Cut 640 Jobs, Close 23 Branches as Part of 2014 Plan",2
855,Royal Mail turnaround proving expensive in tough UK market,0
856,IHG agrees $938 sale of InterContinental Hong Kong,2
857,Barclays Said to Shrink Bonus Pool to Less Than 2 Billion Pounds,2
858,Shire Offers to Buy Baxalta for $30 Billion,2
859,Crown Castle buys Tower Development Corp for $461 million,2
860,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,2
861,Norway's sovereign wealth fund says backed Shell CEO's pay,2
862,MarketsProperty stocks under pressure after Standard Life fund move,0
863,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0
864,BP's fine for 2010 oil spill capped at $13.7 billion,0
865,Oilfield services firm Petrofac's debt shoots up 50 per cent,0
866,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,2
867,FTSE 100 movers: BG Group leads the charge as resource stocks jump,2
868,Spain's CaixaBank Expects To Close Deal For Banco BPI,2
869,Royal Mail share price: Postal service issues trading update,0
870,Barclays Said to Cut 150 at Investment Bank as McCormick Departs,0
871,Glencore fight back over debt fears lifts shares,2
872,SAB's Chairman Digs In With Board Divided on InBev Offer,2
873,Britain facing winter of blackouts as National Grid warns of tightest power ...,0
874,AB InBev approaches SABMiller to explore $250bn tie-up,2
875,Barclays launches first 100% mortgages since crisis,2
876,Germanwings disaster will not affect image of budget air travel - easyJet,2
877,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",0
878,"After Barclays and Bank of America, Citigroup has blockchain in sight",2
879,Early victory for new CEO as Morrisons beats forecasts,2
880,Barclays said to be cutting 150 investment bank jobs,0
881,Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
882,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
883,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,2
884,Unilever Finds Growth More Elusive as Sales Meet Estimates,2
885,Primark racks up a happy Christmas after strong sales,2
886,New York says Barclays not cooperating in 'dark pool' probe,0
887,"FDA approves NPS drug, in move validating Shire takeover deal",2
888,Royal Mail share price edges lower as group raises stamp price,0
889,Sainsbury's and Glencore give FTSE a three-digit lift - London Report,2
890,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0
891,Tata Steel working with StanChart for UK unit sale - source,2
892,Diageo offloads major wine interests,0
893,Glencore Agrees to Sell Minority Stake in Agriculture Business,2
894,Diageo sells wine businesses for 320m pounds,2
895,Breakingviews: IAG can pay more for Aer Lingus,2
896,UPDATE 1-UK government would oppose any takeover of BP -FT,0
897,Australian mining slowdown hits Aggreko,0
898,The sustainability of Royal Dutch Shell's dividend,1
899,CompaniesCoutts raids JPMorgan Chase for new CEO,1
900,Easyjet traffic hit by air traffic controller strikes and terrorism,0
901,Dixons Carphone says cyber attack may have exposed customers' data,0
902,Stars aligned' for AB InBev's megabrew merger plan,2
903,AstraZeneca's Good Deal Turns Bad,0
904,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0
905,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",2
906,Primark plots expansion in US and Europe,2
907,BP shares tumble after $2.2bn fourth-quarter loss,0
908,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,0
909,Berkshire Hathaway's 4Q profit declines 17 percent,0
